Time;°C(1)K;°C(2)K;°C(3)K
76;27,1;20,4;26,3
82;32,9;20,4;27,3
86;38;20,5;28,1
90;44,1;20,4;28,9
93;49,3;20,4;29,7
96;54,9;20,4;30,5
100;62,3;20,4;31,6
102;67,8;20,4;32,3
105;73,4;20,4;33,2
107;78,9;20,5;33,9
110;85,5;20,4;34,9
113;93,2;20,4;36,1
116;99,3;20,5;37,1
119;107,1;20,4;38,4
122;115,9;20,4;39,9
127;126,9;20,5;41,8
130;135,4;20,5;43,4
133;140;20,4;45
136;149,9;20,4;46,4
139;156,7;20,5;47,8
141;164,1;20,4;49,4
144;170,9;20,5;51
147;177,5;20,4;52,6
149;183,9;20,5;54,2
152;190,1;20,4;55,7
155;198,6;20,5;58
159;207,6;20,4;60,4
161;212,8;20,5;61,9
163;218,7;20,4;63,6
166;225,1;20,5;65,5
168;231,7;20,5;67,5
171;237,5;20,4;69,4
174;245,5;20,4;72
176;251,7;20,4;74,1
179;257,4;20,4;76,1
182;264,5;20,4;78,6
184;270,4;20,4;80,9
187;277,6;20,4;83,6
190;284,5;20,4;86,4
193;290;20,4;88,7
196;296,1;20,5;91,2
198;301,2;20,5;93,3
201;307,7;20,4;96,2
203;313,1;20,4;98,6
206;318,6;20,5;101,2
208;324;20,4;103,7
212;331;20,3;107,2
216;339,7;20,4;111,5
219;347,2;20,4;115,4
223;354,8;20,4;119,5
225;359,8;20,3;122,2
228;364,8;20,4;124,9
231;372,2;20,3;129
235;379,1;20,4;133,1
238;385,8;20,3;137,5
242;391,5;20,4;141,6
243;393,4;20,4;179,8
246;396,5;20,4;145,6
251;402,2;20,4;152,2
255;405,5;20,3;157,5
260;408,1;20,3;163,2
264;409,8;20,4;168,5
269;411,2;20,3;174,4
273;411,9;20,4;180,5
278;412;20,4;186,4
283;411,9;20,4;192,7
287;411,5;20,4;198
291;410,8;20,4;203,6
296;409,8;20,4;209,9
301;408,8;20,4;216,2
305;407,6;20,4;222,4
310;406,3;20,4;228,4
314;405,1;20,4;233,6
318;403,9;20,4;239
322;402,4;20,4;245,2
326;401,1;20,4;250,6
332;399,1;20,4;258,4
336;397,6;20,4;264
341;395,7;20,4;270,9
345;394,3;20,4;276,4
349;393;20,4;281,5
353;391,5;20,4;286,9
357;389,8;20,4;293,6
361;388,4;20,4;298,7
365;387;20,4;303,9
369;385,4;20,4;310,2
374;383,5;20,4;317
379;381,8;20,4;323,8
383;380,4;20,4;329,2
388;378,8;20,4;335,4
393;377,1;20,4;341,9
396;375,7;20,3;347,1
401;374,2;20,3;353,1
406;372,5;20,3;359,4
410;371,1;20,3;365,5
414;369,6;20,4;371,3
418;368,4;20,4;376,3
423;366,6;20,4;383,3
428;365,2;20,4;389,2
433;363,6;20,3;395,9
438;361,9;20,3;402,7
443;360,3;20,3;409,2
449;358,1;20,4;417,5
453;356,9;20,4;422,5
457;355,7;20,4;427,5
462;354,3;20,3;433,4
468;352,6;20,4;440,2
473;350,9;20,3;447,1
478;349,5;20,3;453,1
483;348;20,3;459,3
487;346,7;20,3;464,3
493;345,1;20,3;470,6
498;343,6;20,4;476,5
503;342,2;20,4;482,3
508;340,5;20,4;488,8
513;339,2;20,4;494,4
518;337,9;20,4;499,7
523;336,4;20,4;506,2
528;334,9;20,3;511,4
533;333,8;20,3;516,4
537;332,5;20,3;521,6
542;331,1;20,3;526,8
547;329,8;20,4;532,5
553;328,3;20,3;538,6
558;327;20,3;544,1
564;325,5;20,4;550
570;324;20,4;555,7
576;322,4;20,4;561,8
581;321,1;20,3;566,8
587;319,7;20,3;572,8
593;319;20,4;578,7
600;319,3;20,4;584,7
606;320,6;20,4;590,9
612;322,4;20,4;596,8
618;324,3;20,3;602,1
624;326,3;20,3;607,4
630;328,2;20,3;613,1
636;329,6;20,3;618,7
643;330,5;20,3;624,5
649;330,7;20,3;630,2
656;330,7;20,3;635,8
663;330,2;20,3;641,6
668;329,7;20,3;646,7
675;328,9;20,3;652,3
682;327,8;20,3;657,6
689;326,6;20,3;663,4
696;325,3;20,3;669,3
703;323,8;20,3;675,2
711;322,3;20,3;680,5
717;320,9;20,4;686
725;319,2;20,3;691,3
733;317,5;20,4;696,4
742;315,6;20,3;701,8
753;313,1;20,4;707,5
763;310,9;20,4;712,7
776;308,1;20,3;718,1
787;305,8;20,4;723,2
803;302,4;20,4;728,9
821;298,6;20,4;734,6
846;293,9;20,3;739,8
866;292,3;20,3;745
892;294,1;20,4;750,4
925;299,2;20,3;754,5
962;298,5;20,4;759,6
999;293,5;20,4;762,4
1076;298,6;20,3;765,8
1150;293,6;20,3;767,9
1230;298,8;20,3;766,3
1297;293,6;20,3;766,6
